WELL,I,J,K,DEPTH,PROPERTY,COST,WWCT_cost,WOPR_cost,WSWP_cost,WGPR_cost,class_
BEGJPP82,26,585,1,4057.32,WSWP,211303.23950195312,0.0,0.0,211303.23950195312,0.0,0
BEGJPP92,101,499,4,3629.16,WSWP,113447.90747070312,489.72766315937037,8380.663103699684,113447.90747070312,40815.32693482563,2
BEGJPP91,68,556,1,3430.64,WSWP,116301.48443603516,375.25969691574585,7756.4636154174805,116301.48443603516,49567.92364060187,2
BEGJPP55,19,500,1,4116.54,WSWP,225936.77099609372,0.0,0.0,225936.77099609372,0.0,0
BEGJPP83,118,529,3,3845.79,WSWP,76258.51654052733,945.5226872060448,36628.692623138435,76258.51654052733,81683.61042810978,2
BEGJPP52,69,319,3,3354.89,WSWP,52805.3447265625,104.0415834125597,6583.08250617981,52805.3447265625,36451.66325682402,2
BEGJPP82,49,475,8,3240.86,WSWP,118222.966796875,117.21121561841574,3699.1455688476562,118222.966796875,54445.33006347716,2
BEGJPP88,141,491,56,4108.47,WSWP,202348.28149414065,0.0,0.0,202348.28149414065,0.0,0
BEGJPP93,107,650,102,4061.21,WSWP,123472.9930419922,0.0,0.0,123472.9930419922,0.0,0
BEGJPP58,112,185,1,3947.89,WSWP,149024.53662109375,1256.2870851755142,61453.12023925781,149024.53662109375,61831.77310758084,2
BEGJPP5P,123,421,1,3777.02,WSWP,116333.77026367188,2178.276997094974,92751.07516527176,116333.77026367188,89077.77055954188,2
BEGJPP51,120,49,114,4077.38,WSWP,148705.57287597653,0.0,0.0,148705.57287597653,0.0,0
BEGJPP58,136,334,104,4233.65,WSWP,229428.5871582031,0.0,0.0,229428.5871582031,0.0,0
